Symbol,Company Name,Industry,Market Cap
ISPC,iSpecimen,Diagnostics & Research,4.61M
ISPO,Inspirato,Leisure,24.80M
ISPR,Ispire Technology,Tobacco,555.71M
ISRG,Intuitive Surgical,Medical Instruments & Supplies,127.56B
ISRL,Israel Acquisitions,Shell Companies,213.84M
ISSC,Innovative Solutions and Support,Aerospace & Defense,143.07M
ISTR,Investar Holding,Banks - Regional,160.44M
ISUN,"iSun, Inc.",Solar,12.26M
IT,Gartner,Information Technology Services,34.66B
ITCI,Intra-Cellular Therapies,Drug Manufacturers - Specialty & Generic,6.55B
ITGR,Integer Holdings,Medical Devices,3.40B
ITI,Iteris,Communication Equipment,199.98M
ITIC,Investors Title Company,Insurance - Specialty,312.01M
ITOS,iTeos Therapeutics,Biotechnology,388.27M
ITP,IT Tech Packaging,Paper & Paper Products,2.88M
ITRG,Integra Resources,Other Precious Metals & Mining,62.59M
ITRI,Itron,Scientific & Technical Instruments,3.30B
ITRM,Iterum Therapeutics,Biotechnology,26.03M
ITRN,Ituran Location and Control,Communication Equipment,528.25M
ITT,ITT Inc.,Specialty Industrial Machinery,9.63B
ITUB,Itaú Unibanco Holding,Banks - Regional,66.96B
ITW,Illinois Tool Works,Specialty Industrial Machinery,76.42B
IVA,Inventiva,Biotechnology,221.87M
IVAC,Intevac,Aerospace & Defense,109.71M
IVCA,Investcorp India Acquisition,Shell Companies,179.00M
IVCB,Investcorp Europe Acquisition Corp I,Shell Companies,305.32M
IVCP,Swiftmerge Acquisition,Shell Companies,85.33M
IVDA,Iveda Solutions,Security & Protection Services,9.64M
IVP,Inspire Veterinary Partners,Personal Services,1.97M
IVR,Invesco Mortgage Capital,REIT - Mortgage,439.54M
IVT,InvenTrust Properties,REIT - Retail,1.71B
IVVD,Invivyd,Biotechnology,455.88M
IVZ,Invesco,Asset Management,7.93B
IX,ORIX Corporation,Credit Services,22.35B
IXAQ,IX Acquisition,Shell Companies,95.32M
IXHL,Incannex Healthcare,Drug Manufacturers - Specialty & Generic,1.74B
IZEA,IZEA Worldwide,Internet Content & Information,30.44M
IZM,ICZOOM Group,Electronics & Computer Distribution,117.72M
J,Jacobs Engineering Group,Engineering & Construction,16.72B
JACK,Jack in the Box,Restaurants,1.51B
JAGX,Jaguar Health,Biotechnology,5.50M
JAKK,JAKKS Pacific,Leisure,353.77M
JAMF,Jamf Holding,Software - Application,2.47B
JAN,JanOne,Waste Management,2.86M
JANX,Janux Therapeutics,Biotechnology,482.46M
JAZZ,Jazz Pharmaceuticals,Biotechnology,7.58B
JBGS,JBG SMITH Properties,REIT - Office,1.63B
JBHT,J.B. Hunt Transport Services,Integrated Freight & Logistics,19.71B
JBI,Janus International Group,Building Products & Equipment,2.06B
JBL,Jabil,Electronic Components,16.62B
JBLU,JetBlue Airways,Airlines,1.73B
JBSS,Sanfilippo (John B.) & Son,Packaged Foods,1.20B
JBT,John Bean Technologies,Specialty Industrial Machinery,2.98B
JCI,Johnson Controls International,Building Products & Equipment,39.34B
JCSE,JE Cleantech Holdings,Specialty Industrial Machinery,12.02M
JCTCF,Jewett-Cameron Trading Company,Lumber & Wood Production,20.64M
JD,JD.com,Internet Retail,34.60B
JEF,Jefferies Financial Group,Capital Markets,8.32B
JELD,JELD-WEN Holding,Building Products & Equipment,1.57B
JEWL,Adamas One,Luxury Goods,15.38M
JFBR,Jeffs' Brands,Internet Retail,4.14M
JFIN,Jiayin Group,Internet Content & Information,339.94M
JFU,9F Inc.,Information Technology Services,33.54M
JG,Aurora Mobile,Software - Infrastructure,21.96M
JHG,Janus Henderson Group,Asset Management,4.81B
JHX,James Hardie Industries,Building Materials,16.31B
JILL,J.Jill,Apparel Retail,248.74M
JJSF,J&J Snack Foods,Packaged Foods,3.08B
JKHY,Jack Henry & Associates,Information Technology Services,12.18B
JKS,JinkoSolar Holding Co.,Solar,1.61B
JLL,Jones Lang LaSalle,Real Estate Services,8.28B
JMIA,Jumia Technologies AG,Internet Retail,326.00M
JMSB,John Marshall Bancorp,Banks - Regional,289.30M
JNJ,Johnson & Johnson,Drug Manufacturers - General,387.93B
JNPR,Juniper Networks,Communication Equipment,12.04B
JNVR,Janover,Software - Infrastructure,10.49M
JOAN,JOANN,Specialty Retail,19.74M
JOB,GEE Group,Staffing & Employment Services,49.60M
JOBY,Joby Aviation,Airports & Air Services,4.17B
JOE,The St. Joe Company,Real Estate - Diversified,3.28B
JOUT,Johnson Outdoors,Leisure,494.47M
JPM,JPMorgan Chase & Co.,Banks - Diversified,492.34B
JRSH,Jerash Holdings (US),Apparel Manufacturing,37.13M
JRVR,James River Group Holdings,Insurance - Specialty,317.30M
JSPR,Jasper Therapeutics,Biotechnology,86.14M
JT,Jianpu Technology,Credit Services,17.80M
JTAI,Jet.AI,Software - Application,10.26M
JVA,Coffee Holding Co.,Packaged Foods,5.77M
JWEL,Jowell Global,Internet Retail,4.44M
JWN,Nordstrom,Department Stores,2.98B
JWSM,Jaws Mustang Acquisition,Shell Companies,304.97M
JXJT,JX Luxventure,Apparel Manufacturing,7.34M
JXN,Jackson Financial,Insurance - Life,3.97B
JYD,Jayud Global Logistics,Integrated Freight & Logistics,24.87M
JYNT,The Joint,Medical Care Facilities,136.33M
JZ,Jianzhi Education Technology Group Company,Education & Training Services,45.04M
JZXN,Jiuzi Holdings,Auto & Truck Dealerships,2.96M
K,Kellanova Co,Packaged Foods,18.92B
KA,Kineta,Biotechnology,29.83M
KACL,Kairous Acquisition Corp.,Shell Companies,51.19M
KAI,Kadant,Specialty Industrial Machinery,3.07B
KALA,Kala Pharmaceuticals,Drug Manufacturers - Specialty & Generic,20.79M
KALU,Kaiser Aluminum,Aluminum,1.02B
KALV,KalVista Pharmaceuticals,Biotechnology,453.41M
KAMN,Kaman,Aerospace & Defense,650.74M
KAR,Openlane,Auto & Truck Dealerships,1.54B
KARO,Karooooo,Software - Application,750.25M
KAVL,Kaival Brands Innovations Group,Tobacco,11.29M
KB,KB Financial Group,Banks - Regional,14.84B
KBH,KB Home,Residential Construction,4.95B
KBR,"KBR, Inc.",Engineering & Construction,7.35B
KC,Kingsoft Cloud Holdings,Software - Application,707.32M
KCGI,Kensington Capital Acquisition V,Shell Companies,122.55M
KD,Kyndryl Holdings,Information Technology Services,4.80B
KDP,Keurig Dr Pepper,Beverages - Non-Alcoholic,44.68B
KE,Kimball Electronics,Electrical Equipment & Parts,610.44M
KELYA,Kelly Services,Staffing & Employment Services,718.93M
KELYB,Kelly Services,Staffing & Employment Services,662.46M
KEN,Kenon Holdings,Utilities - Independent Power Producers,1.34B
KEP,Korea Electric Power,Utilities - Regulated Electric,9.05B
KEQU,Kewaunee Scientific,"Furnishings, Fixtures & Appliances",82.76M
KERN,Akerna,Health Information Services,3.73M
KEX,Kirby,Marine Shipping,4.57B
KEY,KeyCorp,Banks - Regional,13.47B
KEYS,Keysight Technologies,Scientific & Technical Instruments,26.62B
KFFB,Kentucky First Federal Bancorp,Banks - Regional,33.40M
KFRC,Kforce,Staffing & Employment Services,1.26B
KFS,Kingsway Financial Services,Auto & Truck Dealerships,227.75M
KFY,Korn Ferry,Staffing & Employment Services,2.95B
KGC,Kinross Gold,Gold,6.91B
KGEI,Kolibri Global Energy,Oil & Gas E&P,122.55M
KGS,Kodiak Gas Services,Oil & Gas Equipment & Services,1.62B
KHC,The Kraft Heinz Company,Packaged Foods,46.09B
KIDS,OrthoPediatrics,Medical Devices,679.12M
KIM,Kimco Realty,REIT - Retail,13.84B
KIND,Nextdoor Holdings,Internet Content & Information,639.31M
KINS,Kingstone Companies,Insurance - Property & Casualty,24.32M
KIQ,Kelso Technologies,Railroads,8.80M
KIRK,Kirkland's,Specialty Retail,37.09M
KITT,Nauticus Robotics,Aerospace & Defense,26.64M
KKR,KKR & Co.,Asset Management,72.46B
KLAC,KLA Corporation,Semiconductor Equipment & Materials,76.41B
KLG,WK Kellogg Co,Packaged Foods,1.12B
KLIC,Kulicke and Soffa Industries,Semiconductor Equipment & Materials,2.88B
KLTR,Kaltura,Software - Infrastructure,255.94M
KLXE,KLX Energy Services Holdings,Oil & Gas Equipment & Services,169.32M
KMB,Kimberly-Clark,Household & Personal Products,41.84B
KMDA,Kamada,Drug Manufacturers - Specialty & Generic,341.75M
KMI,Kinder Morgan,Oil & Gas Midstream,39.65B
KMPR,Kemper,Insurance - Property & Casualty,3.43B
KMT,Kennametal,Tools & Accessories,1.95B
KMX,CarMax,Auto & Truck Dealerships,11.35B
KN,Knowles,Communication Equipment,1.53B
KNDI,Kandi Technologies Group,Auto Parts,255.57M
KNF,Knife River,Building Materials,3.64B
KNOP,KNOT Offshore Partners LP,Marine Shipping,204.27M
KNSA,Kiniksa Pharmaceuticals,Biotechnology,1.36B
KNSL,Kinsale Capital Group,Insurance - Property & Casualty,8.69B
KNTE,Kinnate Biopharma,Biotechnology,119.67M
KNTK,Kinetik Holdings,Oil & Gas Midstream,1.87B
KNW,Know Labs,Scientific & Technical Instruments,42.90M
KNX,Knight-Swift Transportation Holdings,Trucking,8.95B
KO,The Coca-Cola Company,Beverages - Non-Alcoholic,258.58B
KOD,Kodiak Sciences,Biotechnology,170.53M
KODK,Eastman Kodak Company,Specialty Business Services,281.62M
KOF,Coca-Cola FEMSA,Beverages - Non-Alcoholic,18.86B
KOP,Koppers Holdings,Specialty Chemicals,1.03B
KOPN,Kopin,Electronic Components,258.65M
KORE,KORE Group Holdings,Telecom Services,78.49M
KOS,Kosmos Energy,Oil & Gas E&P,3.01B
KOSS,Koss Corporation,Consumer Electronics,28.54M
KPLT,Katapult Holdings,Software - Infrastructure,37.03M
KPRX,Kiora Pharmaceuticals,Biotechnology,4.08M
KPTI,Karyopharm Therapeutics,Biotechnology,84.55M
KR,The Kroger Co.,Grocery Stores,32.99B
KRC,Kilroy Realty,REIT - Office,4.75B
KREF,KKR Real Estate Finance Trust,REIT - Mortgage,900.39M
KRG,Kite Realty Group Trust,REIT - Retail,4.86B
KRKR,36Kr Holdings,Internet Content & Information,19.93M
KRMD,KORU Medical Systems,Medical Instruments & Supplies,98.19M
KRNL,Kernel Group Holdings,Shell Companies,149.80M
KRNT,Kornit Digital,Specialty Industrial Machinery,830.52M
KRNY,Kearny Financial,Banks - Regional,529.22M
KRO,Kronos Worldwide,Specialty Chemicals,1.07B
KRON,Kronos Bio,Biotechnology,68.81M
KROS,Keros Therapeutics,Biotechnology,1.72B
KRP,"Kimbell Royalty Partners, LP",Oil & Gas E&P,1.48B
KRRO,Korro Bio,Biotechnology,33.50M
KRT,Karat Packaging,Packaging & Containers,461.98M
KRTX,Karuna Therapeutics,Biotechnology,11.99B
KRUS,Kura Sushi USA,Restaurants,991.06M
KRYS,Krystal Biotech,Biotechnology,3.53B
KSCP,Knightscope,Security & Protection Services,46.33M
KSS,Kohl's,Department Stores,2.96B
KT,KT Corporation,Telecom Services,6.33B
KTB,Kontoor Brands,Apparel Manufacturing,3.27B
KTCC,Key Tronic,Computer Hardware,44.66M
KTOS,Kratos Defense & Security Solutions,Aerospace & Defense,2.37B
KTRA,Kintara Therapeutics,Biotechnology,478.36K
KTTA,Pasithea Therapeutics,Biotechnology,7.81M
KUKE,Kuke Music Holding,Entertainment,30.65M
KULR,KULR Technology Group,Electronic Components,24.23M
KURA,Kura Oncology,Biotechnology,1.15B
KVAC,Keen Vision Acquisition,Shell Companies,200.69M
KVHI,KVH Industries,Communication Equipment,98.25M
KVUE,Kenvue,Household & Personal Products,42.00B
KVYO,Klaviyo,Software - Infrastructure,6.71B
KW,Kennedy-Wilson Holdings,Real Estate Services,1.62B
KWE,KWESST Micro Systems,Aerospace & Defense,6.03M
KWR,Quaker Chemical,Specialty Chemicals,3.59B
KXIN,Kaixin Auto Holdings,Auto & Truck Dealerships,16.51M
KYCH,Keyarch Acquisition,Shell Companies,65.37M
KYMR,Kymera Therapeutics,Biotechnology,1.64B
KZIA,Kazia Therapeutics,Biotechnology,8.27M
KZR,Kezar Life Sciences,Biotechnology,65.89M
L,Loews,Insurance - Property & Casualty,15.85B
LAAC,Lithium Americas (Argentina),Other Industrial Metals & Mining,895.59M
LAB,Standard BioTools,Diagnostics & Research,578.93M
LABP,Landos Biopharma,Biotechnology,13.69M
LAC,Lithium Americas,Other Industrial Metals & Mining,869.46M
LAD,Lithia Motors,Auto & Truck Dealerships,8.13B
LADR,Ladder Capital,REIT - Mortgage,1.44B
LAES,SEALSQ,Semiconductors,28.56M
LAKE,Lakeland Industries,Apparel Manufacturing,127.19M
LAMR,Lamar Advertising Company,REIT - Specialty,10.70B
LANC,Lancaster Colony,Packaged Foods,4.62B
LAND,Gladstone Land,REIT - Industrial,505.32M
LANV,Lanvin Group Holdings,Luxury Goods,406.06M
LARK,Landmark Bancorp,Banks - Regional,107.55M
LASE,Laser Photonics,Specialty Industrial Machinery,8.34M
LASR,nLIGHT,Semiconductors,612.05M
LATG,Chenghe Acquisition I Co.,Shell Companies,91.25M
LAUR,Laureate Education,Education & Training Services,2.01B
LAW,CS Disco,Software - Application,489.87M
LAZ,Lazard,Capital Markets,3.30B
LAZR,Luminar Technologies,Auto Parts,1.14B
LAZY,Lazydays Holdings,Auto & Truck Dealerships,80.38M
LBAI,Lakeland Bancorp,Banks - Regional,917.58M
LBBB,Lakeshore Acquisition II,Shell Companies,63.88M
LBC,Luther Burbank,Banks - Regional,513.74M
LBPH,Longboard Pharmaceuticals,Biotechnology,542.04M
LBRDA,Liberty Broadband,Telecom Services,11.18B
LBRDK,Liberty Broadband,Telecom Services,11.20B
LBRT,Liberty Energy,Oil & Gas Equipment & Services,2.88B
LBTYA,Liberty Global,Telecom Services,7.48B
LBTYB,Liberty Global,Telecom Services,7.31B
LBTYK,Liberty Global,Telecom Services,7.46B
LC,LendingClub,Credit Services,932.02M
LCA,Landcadia Holdings IV,Shell Companies,141.96M
LCAA,L Catterton Asia Acquisition,Shell Companies,312.91M
LCFY,Locafy,Internet Content & Information,9.70M
LCID,Lucid Group,Auto Manufacturers,7.46B
LCII,LCI Industries,Recreational Vehicles,3.11B
LCNB,LCNB Corp.,Banks - Regional,246.49M
LCTX,Lineage Cell Therapeutics,Biotechnology,197.74M
LCUT,Lifetime Brands,"Furnishings, Fixtures & Appliances",167.53M
LCW,Learn CW Investment,Shell Companies,163.71M
LDI,loanDepot,Mortgage Finance,908.62M
LDOS,Leidos Holdings,Information Technology Services,14.96B
LDTC,LeddarTech Holdings,Software - Application,116.90M
LDWY,Lendway,Advertising Agencies,8.20M
LE,Lands' End,Specialty Retail,270.43M
LEA,Lear Corporation,Auto Parts,7.82B
LECO,Lincoln Electric Holdings,Tools & Accessories,12.04B
LEDS,SemiLEDs,Semiconductors,6.64M
LEE,Lee Enterprises,Publishing,48.99M
LEG,Leggett & Platt,"Furnishings, Fixtures & Appliances",3.41B
LEGH,Legacy Housing,Residential Construction,577.60M
LEGN,Legend Biotech,Biotechnology,10.73B
LEJU,Leju Holdings,Real Estate Services,19.02M
LEN,Lennar,Residential Construction,43.63B
LEN.B,Lennar,Residential Construction,43.74B
LESL,Leslie's,Home Improvement Retail,1.20B
LEU,Centrus Energy,Uranium,784.51M
LEV,The Lion Electric Company,Farm & Heavy Construction Machinery,416.18M
LEVI,Levi Strauss & Co.,Apparel Manufacturing,6.45B
LEXX,Lexaria Bioscience,Biotechnology,15.62M
LFCR,Lifecore Biomedical,Drug Manufacturers - Specialty & Generic,204.67M
LFLY,Leafly Holdings,Pharmaceutical Retailers,10.06M
LFMD,LifeMD,Pharmaceutical Retailers,236.79M
LFST,LifeStance Health Group,Medical Care Facilities,2.67B
LFT,Lument Finance Trust,REIT - Mortgage,130.06M
LFUS,Littelfuse,Electronic Components,6.07B
LFVN,LifeVantage,Packaged Foods,73.23M
LGCB,Linkage Global,Internet Retail,30.53M
LGF.A,Lions Gate Entertainment,Entertainment,2.34B
LGF.B,Lions Gate Entertainment,Entertainment,2.34B
LGHL,Lion Group Holding,Capital Markets,1.48M
LGIH,LGI Homes,Residential Construction,2.97B
LGL,The LGL Group,Electronic Components,32.84M
LGMK,LogicMark,Security & Protection Services,2.13M
LGND,Ligand Pharmaceuticals,Biotechnology,1.26B
LGO,Largo,Other Industrial Metals & Mining,153.72M
LGST,Semper Paratus Acquisition,Shell Companies,159.86M
LGVC,LAMF Global Ventures I,Shell Companies,134.91M
LGVN,Longeveron,Biotechnology,29.38M
LH,Laboratory Corporation of America Holdings,Diagnostics & Research,18.93B
LHX,L3Harris Technologies,Aerospace & Defense,38.46B
LI,Li Auto,Auto Manufacturers,32.17B
LIAN,LianBio,Biotechnology,444.75M
LIBY,Liberty Resources Acquisition,Shell Companies,79.40M
FOLD,Amicus Therapeutics,Biotechnology,3.91B
FONR,FONAR,Medical Devices,121.99M
FOR,Forestar Group,Real Estate - Development,1.70B
FORA,Forian,Health Information Services,83.63M
FORD,Forward Industries,Footwear & Accessories,7.21M
FORL,Four Leaf Acquisition,Shell Companies,72.06M
FORM,FormFactor,Semiconductors,3.06B
FORR,Forrester Research,Consulting Services,502.52M
FORTY,Formula Systems (1985),Information Technology Services,949.15M
FOSL,Fossil Group,Luxury Goods,70.32M
FOUR,Shift4 Payments,Software - Infrastructure,6.18B
FOX,Fox Corporation,Entertainment,14.43B
FOXA,Fox Corporation,Entertainment,14.50B
FOXF,Fox Factory Holding,Auto Parts,2.81B
FOXO,FOXO Technologies,Health Information Services,1.83M
FPAY,FlexShopper,Rental & Leasing Services,35.72M
FPH,"Five Point Holdings, LLC",Real Estate - Development,299.86M
FPI,Farmland Partners,REIT - Specialty,567.26M
FR,First Industrial Realty Trust,REIT - Industrial,6.98B
FRAF,Franklin Financial Services,Banks - Regional,125.18M
FRBA,First Bank,Banks - Regional,353.68M
FRD,Friedman Industries,Steel,115.79M
FREE,Whole Earth Brands,Packaged Foods,151.26M
FRES,Fresh2 Group,Biotechnology,13.52M
FREY,FREYR Battery,Electrical Equipment & Parts,220.73M
FRGE,Forge Global Holdings,Software - Application,445.19M
FRGT,Freight Technologies,Software - Application,2.05M
FRHC,Freedom Holding,Capital Markets,4.81B
FRLA,Fortune Rise Acquisition,Shell Companies,61.81M
FRLN,Freeline Therapeutics Holdings,Biotechnology,27.89M
FRME,First Merchants,Banks - Regional,2.11B
FRO,Frontline,Oil & Gas Midstream,4.77B
FROG,JFrog,Software - Application,3.50B
FRPH,FRP Holdings,Real Estate Services,559.15M
FRPT,Freshpet,Packaged Foods,4.10B
FRSH,Freshworks,Software - Application,6.92B
FRST,Primis Financial,Banks - Regional,311.48M
FRSX,Foresight Autonomous Holdings,Auto Parts,17.33M
FRT,Federal Realty Investment Trust,REIT - Retail,8.32B
FRZA,Forza X1,Recreational Vehicles,8.84M
FSBC,Five Star Bancorp,Banks - Regional,440.57M
FSBW,FS Bancorp,Banks - Regional,275.27M
FSEA,First Seacoast Bancorp,Banks - Regional,40.21M
FSFG,First Savings Financial Group,Banks - Regional,116.44M
FSI,Flexible Solutions International,Specialty Chemicals,22.26M
FSK,FS KKR Capital,Asset Management,5.74B
FSLR,First Solar,Solar,17.13B
FSLY,Fastly,Software - Application,2.30B
FSM,Fortuna Silver Mines,Silver,1.11B
FSP,Franklin Street Properties,REIT - Office,275.12M
FSR,Fisker,Auto Manufacturers,364.58M
FSS,Federal Signal,Pollution & Treatment Controls,4.47B
FSTR,L.B. Foster Company,Railroads,243.57M
FSV,FirstService,Real Estate Services,7.17B
FTAI,FTAI Aviation,Rental & Leasing Services,4.87B
FTCI,FTC Solar,Solar,67.83M
FTDR,Frontdoor,Personal Services,2.61B
FTEK,Fuel Tech,Pollution & Treatment Controls,31.60M
FTEL,Fitell,Specialty Retail,10.58M
FTFT,Future FinTech Group,Software - Application,19.28M
FTHM,Fathom Holdings,Real Estate Services,68.06M
FTI,TechnipFMC,Oil & Gas Equipment & Services,8.13B
FTII,FutureTech II Acquisition,Shell Companies,91.56M
FTK,Flotek Industries,Oil & Gas Equipment & Services,97.59M
FTLF,FitLife Brands,Packaged Foods,88.12M
FTNT,Fortinet,Software - Infrastructure,47.80B
FTRE,Fortrea Holdings,Biotechnology,2.66B
FTS,Fortis,Utilities - Regulated Electric,20.04B
FTV,Fortive,Scientific & Technical Instruments,25.21B
FUBO,fuboTV,Broadcasting,816.93M
FUL,H.B. Fuller Company,Specialty Chemicals,4.24B
FULC,Fulcrum Therapeutics,Biotechnology,448.21M
FULT,Fulton Financial,Banks - Regional,2.63B
FUN,"Cedar Fair,",Leisure,2.00B
FUNC,First United,Banks - Regional,149.77M
FURY,Fury Gold Mines,Other Industrial Metals & Mining,56.76M
FUSB,First US Bancshares,Banks - Regional,57.75M
FUSN,Fusion Pharmaceuticals,Biotechnology,669.75M
FUTU,Futu Holdings,Capital Markets,7.04B
FUV,Arcimoto,Recreational Vehicles,6.95M
FVCB,FVCBankcorp,Banks - Regional,247.98M
FVRR,Fiverr International,Internet Content & Information,986.73M
FWBI,First Wave BioPharma,Biotechnology,2.90M
FWONA,Liberty Media,Entertainment,24.09B
FWRD,Forward Air,Integrated Freight & Logistics,1.45B
FWRG,First Watch Restaurant Group,Restaurants,1.17B
FXNC,First National,Banks - Regional,132.23M
FYBR,Frontier Communications Parent,Telecom Services,5.51B
G,Genpact,Information Technology Services,6.23B
GABC,German American Bancorp,Banks - Regional,925.42M
GAIA,"Gaia, Inc.",Entertainment,67.65M
GAIN,Gladstone Investment,Asset Management,500.30M
GALT,Galectin Therapeutics,Biotechnology,115.66M
GAMB,Gambling.com Group,Gambling,351.79M
GAMC,Golden Arrow Merger,Shell Companies,98.34M
GAME,GameSquare Holdings,Electronic Gaming & Multimedia,19.39M
GAN,GAN Limited,Gambling,69.28M
GANX,Gain Therapeutics,Biotechnology,69.55M
GAQ,Generation Asia I Acquisition,Shell Companies,166.24M
GASS,StealthGas,Marine Shipping,246.11M
GATE,Marblegate Acquisition,Shell Companies,125.42M
GATO,Gatos Silver,Other Precious Metals & Mining,426.04M
GATX,GATX Corporation,Rental & Leasing Services,4.16B
GAU,Galiano Gold,Gold,217.53M
GB,Global Blue Group Holding AG,Software - Infrastructure,882.09M
GBBK,Global Blockchain Acquisition,Shell Companies,76.88M
GBCI,Glacier Bancorp,Banks - Regional,4.47B
GBDC,Golub Capital BDC,Asset Management,2.59B
GBIO,Generation Bio Co.,Biotechnology,134.80M
GBLI,"Global Indemnity Group, LLC",Insurance - Property & Casualty,440.13M
GBNH,Greenbrook TMS,Medical Care Facilities,13.16M
GBNY,Generations Bancorp NY,Banks - Regional,22.90M
GBR,New Concept Energy,Real Estate Services,5.18M
GBTG,Global Business Travel Group,Software - Application,2.79B
GBX,The Greenbrier Companies,Railroads,1.44B
GCBC,Greene County Bancorp,Banks - Regional,458.19M
GCI,New Media Investment Group,Publishing,354.32M
GCMG,GCM Grosvenor,Asset Management,1.63B
GCO,Genesco,Apparel Retail,327.32M
GCT,GigaCloud Technology,Software - Infrastructure,828.35M
GCTK,GlucoTrack,Medical Instruments & Supplies,5.22M
GD,General Dynamics,Aerospace & Defense,68.21B
GDC,GD Culture Group,Electronic Gaming & Multimedia,11.22M
GDDY,GoDaddy,Software - Infrastructure,14.72B
GDEN,Golden Entertainment,Resorts & Casinos,1.10B
GDEV,GDEV Inc.,Electronic Gaming & Multimedia,442.25M
GDHG,Golden Heaven Group Holdings,Leisure,29.23M
GDOT,Green Dot,Credit Services,480.99M
GDRX,GoodRx Holdings,Health Information Services,2.67B
GDS,GDS Holdings,Information Technology Services,1.31B
GDST,Goldenstone Acquisition,Shell Companies,81.81M
GDTC,CytoMed Therapeutics,Biotechnology,49.92M
GDYN,Grid Dynamics Holdings,Information Technology Services,978.89M
GE,General Electric Company,Specialty Industrial Machinery,141.31B
GECC,Great Elm Capital,Asset Management,82.48M
GEF,Greif,Packaging & Containers,3.05B
GEF.B,Greif,Packaging & Containers,3.04B
GEG,Great Elm Group,Medical Distribution,56.43M
GEHC,GE HealthCare Technologies,Health Information Services,34.71B
GEL,"Genesis Energy,",Oil & Gas Midstream,1.50B
GEN,Gen Digital,Software - Infrastructure,14.76B
GENC,Gencor Industries,Farm & Heavy Construction Machinery,228.07M
GENE,Genetic Technologies,Diagnostics & Research,10.38M
GENI,Genius Sports,Internet Content & Information,1.27B
GENK,GEN Restaurant Group,Restaurants,250.83M
GEO,The GEO Group,Security & Protection Services,1.38B
GEOS,Geospace Technologies,Oil & Gas Equipment & Services,174.32M
GERN,Geron,Biotechnology,1.09B
GES,Guess',Apparel Retail,1.23B
GETR,Getaround,Software - Application,18.00M
GETY,Getty Images Holdings,Internet Content & Information,2.06B
GEVO,"Gevo, Inc.",Specialty Chemicals,247.51M
GFAI,Guardforce AI,Security & Protection Services,27.92M
GFF,Griffon,Conglomerates,3.08B
GFI,Gold Fields,Gold,11.16B
GFL,GFL Environmental,Waste Management,12.09B
GFR,Greenfire Resources,Investment Holding Companies,411.17M
GFS,GLOBALFOUNDRIES,Semiconductors,31.50B
GGAL,Grupo Financiero Galicia,Banks - Regional,3.68B
GGB,Gerdau,Steel,7.65B
GGE,Green Giant,Real Estate - Development,5.15M
GGG,Graco,Specialty Industrial Machinery,14.19B
GGR,Gogoro,Auto Parts,581.18M
GH,Guardant Health,Diagnostics & Research,3.03B
GHC,Graham Holdings Company,Education & Training Services,3.09B
GHG,GreenTree Hospitality Group,Lodging,317.16M
GHI,Greystone Housing Impact Investors LP,Banking Services,380.60M
GHIX,Gores Holdings IX,Shell Companies,687.75M
GHLD,Guild Holdings Company,Mortgage Finance,833.97M
GHM,Graham,Specialty Industrial Machinery,203.03M
GHRS,GH Research,Biotechnology,296.52M
GHSI,Guardion Health Sciences,Drug Manufacturers - Specialty & Generic,6.66M
GIA,GigCapital5,Shell Companies,94.22M
GIB,CGI Inc.,Information Technology Services,24.67B
GIC,Global Industrial Company,Industrial Distribution,1.45B
GIFI,Gulf Island Fabrication,Metal Fabrication,73.29M
GIGM,GigaMedia,Electronic Gaming & Multimedia,15.36M
GIII,G-III Apparel Group,Apparel Manufacturing,1.43B
GIL,Gildan Activewear,Apparel Manufacturing,5.43B
GILD,Gilead Sciences,Drug Manufacturers - General,106.40B
GILT,Gilat Satellite Networks,Communication Equipment,326.16M
GIPR,Generation Income Properties,REIT - Diversified,11.00M
GIS,General Mills,Packaged Foods,35.81B
GKOS,Glaukos,Medical Devices,4.29B
GL,Globe Life,Insurance - Life,11.37B
GLAC,Global Lights Acquisition,Shell Companies,90.96M
GLAD,Gladstone Capital,Asset Management,484.25M
GLBE,Global-e Online,Internet Retail,6.58B
GLBS,Globus Maritime,Marine Shipping,50.43M
GLBZ,Glen Burnie Bancorp,Banks - Regional,18.15M
GLDD,Great Lakes Dredge & Dock,Engineering & Construction,496.26M
GLDG,GoldMining,Gold,153.89M
GLLI,Globalink Investment,Shell Companies,89.01M
GLMD,Galmed Pharmaceuticals,Biotechnology,1.71M
GLNG,Golar LNG,Oil & Gas Midstream,2.39B
GLOB,Globant,Information Technology Services,9.64B
GLP,Global Partners LP,Oil & Gas Midstream,1.43B
GLPG,Galapagos NV,Biotechnology,2.75B
GLPI,Gaming and Leisure Properties,REIT - Specialty,12.52B
GLRE,Greenlight Capital Re,Insurance - Reinsurance,394.37M
GLSI,Greenwich LifeSciences,Biotechnology,118.72M
GLST,Global Star Acquisition,Shell Companies,85.53M
GLT,Glatfelter,Paper & Paper Products,64.47M
GLTO,Galecto,Biotechnology,19.37M
GLUE,Monte Rosa Therapeutics,Biotechnology,308.50M
GLW,Corning,Electronic Components,26.23B
GLYC,GlycoMimetics,Biotechnology,195.11M
GM,General Motors Company,Auto Manufacturers,49.11B
GMAB,Genmab,Biotechnology,20.83B
GMBL,Esports Entertainment Group,Gambling,3.32M
GMDA,Gamida Cell,Biotechnology,39.13M
GME,GameStop,Specialty Retail,4.66B
